Time_(s), Base_Joint_Position_(rad), Shoulder_Joint_Position_(rad), Elbow_Joint_Position_(rad), Wrist_Pitch_Joint_Position_(rad), Wrist_Roll_Joint_Position_(rad)
0.000, 0.00000, 2.09925, -1.65843, -1.54994, 0.00000
0.020, -0.00000, 2.09924, -1.65843, -1.54994, -0.00001
0.040, -0.00000, 2.09922, -1.65840, -1.54993, -0.00005
0.060, -0.00001, 2.09916, -1.65835, -1.54991, -0.00014
0.080, -0.00002, 2.09905, -1.65824, -1.54989, -0.00031
0.100, -0.00004, 2.09886, -1.65808, -1.54985, -0.00058
0.120, -0.00007, 2.09860, -1.65784, -1.54979, -0.00097
0.140, -0.00010, 2.09824, -1.65751, -1.54971, -0.00151
0.160, -0.00015, 2.09775, -1.65707, -1.54961, -0.00221
0.180, -0.00021, 2.09714, -1.65652, -1.54948, -0.00310
0.200, -0.00029, 2.09638, -1.65583, -1.54933, -0.00420
0.220, -0.00037, 2.09545, -1.65499, -1.54914, -0.00554
0.240, -0.00048, 2.09435, -1.65398, -1.54891, -0.00713
0.260, -0.00060, 2.09305, -1.65281, -1.54865, -0.00900
0.280, -0.00075, 2.09154, -1.65143, -1.54835, -0.01118
0.300, -0.00091, 2.08980, -1.64986, -1.54800, -0.01368
0.320, -0.00110, 2.08781, -1.64806, -1.54761, -0.01652
0.340, -0.00131, 2.08556, -1.64602, -1.54717, -0.01974
0.360, -0.00155, 2.08305, -1.64374, -1.54667, -0.02335
0.380, -0.00182, 2.08024, -1.64119, -1.54612, -0.02737
0.400, -0.00211, 2.07716, -1.63838, -1.54551, -0.03183
0.420, -0.00243, 2.07381, -1.63531, -1.54483, -0.03675
0.440, -0.00279, 2.07016, -1.63198, -1.54410, -0.04215
0.460, -0.00318, 2.06624, -1.62839, -1.54329, -0.04806
0.480, -0.00360, 2.06205, -1.62453, -1.54242, -0.05449
0.500, -0.00405, 2.05756, -1.62042, -1.54147, -0.06146
0.520, -0.00453, 2.05281, -1.61604, -1.54044, -0.06897
0.540, -0.00505, 2.04780, -1.61140, -1.53933, -0.07702
0.560, -0.00560, 2.04254, -1.60652, -1.53814, -0.08560
0.580, -0.00618, 2.03705, -1.60142, -1.53687, -0.09473
0.600, -0.00679, 2.03135, -1.59610, -1.53550, -0.10438
0.620, -0.00744, 2.02545, -1.59059, -1.53405, -0.11458
0.640, -0.00812, 2.01938, -1.58489, -1.53250, -0.12529
0.660, -0.00883, 2.01314, -1.57902, -1.53085, -0.13650
0.680, -0.00958, 2.00675, -1.57300, -1.52910, -0.14818
0.700, -0.01035, 2.00024, -1.56684, -1.52725, -0.16031
0.720, -0.01116, 1.99360, -1.56055, -1.52529, -0.17287
0.740, -0.01200, 1.98686, -1.55415, -1.52323, -0.18583
0.760, -0.01287, 1.98005, -1.54766, -1.52104, -0.19918
0.780, -0.01378, 1.97316, -1.54108, -1.51875, -0.21288
0.800, -0.01472, 1.96622, -1.53444, -1.51633, -0.22692
0.820, -0.01569, 1.95925, -1.52774, -1.51380, -0.24128
0.840, -0.01669, 1.95225, -1.52100, -1.51114, -0.25593
0.860, -0.01773, 1.94525, -1.51424, -1.50835, -0.27085
0.880, -0.01880, 1.93825, -1.50747, -1.50543, -0.28601
0.900, -0.01990, 1.93125, -1.50069, -1.50238, -0.30140
0.920, -0.02103, 1.92425, -1.49392, -1.49919, -0.31699
0.940, -0.02219, 1.91725, -1.48715, -1.49587, -0.33276
0.960, -0.02339, 1.91025, -1.48038, -1.49240, -0.34869
0.980, -0.02462, 1.90325, -1.47361, -1.48879, -0.36475
1.000, -0.02588, 1.89625, -1.46684, -1.48505, -0.38092
1.020, -0.02718, 1.88925, -1.46006, -1.48116, -0.39718
1.040, -0.02851, 1.88225, -1.45329, -1.47714, -0.41351
1.060, -0.02987, 1.87525, -1.44652, -1.47297, -0.42988
1.080, -0.03126, 1.86825, -1.43975, -1.46867, -0.44627
1.100, -0.03268, 1.86125, -1.43298, -1.46423, -0.46267
1.120, -0.03414, 1.85425, -1.42620, -1.45964, -0.47906
1.140, -0.03563, 1.84725, -1.41943, -1.45492, -0.49546
1.160, -0.03715, 1.84025, -1.41266, -1.45006, -0.51185
1.180, -0.03871, 1.83325, -1.40589, -1.44506, -0.52825
1.200, -0.04029, 1.82625, -1.39912, -1.43992, -0.54464
1.220, -0.04191, 1.81925, -1.39234, -1.43464, -0.56104
1.240, -0.04356, 1.81225, -1.38557, -1.42923, -0.57743
1.260, -0.04525, 1.80525, -1.37880, -1.42369, -0.59383
1.280, -0.04696, 1.79825, -1.37203, -1.41802, -0.61022
1.300, -0.04871, 1.79125, -1.36526, -1.41223, -0.62662
1.320, -0.05049, 1.78425, -1.35848, -1.40631, -0.64301
1.340, -0.05231, 1.77725, -1.35171, -1.40028, -0.65941
1.360, -0.05415, 1.77025, -1.34494, -1.39412, -0.67581
1.380, -0.05603, 1.76325, -1.33817, -1.38786, -0.69220
1.400, -0.05794, 1.75625, -1.33140, -1.38148, -0.70860
1.420, -0.05988, 1.74925, -1.32463, -1.37500, -0.72499
1.440, -0.06186, 1.74225, -1.31785, -1.36842, -0.74139
1.460, -0.06387, 1.73525, -1.31108, -1.36173, -0.75778
1.480, -0.06591, 1.72825, -1.30431, -1.35495, -0.77418
1.500, -0.06798, 1.72125, -1.29754, -1.34807, -0.79057
1.520, -0.07009, 1.71425, -1.29077, -1.34109, -0.80697
1.540, -0.07222, 1.70725, -1.28399, -1.33403, -0.82336
1.560, -0.07439, 1.70025, -1.27722, -1.32689, -0.83976
1.580, -0.07660, 1.69325, -1.27045, -1.31965, -0.85615
1.600, -0.07883, 1.68625, -1.26368, -1.31234, -0.87255
1.620, -0.08110, 1.67925, -1.25691, -1.30496, -0.88894
1.640, -0.08340, 1.67225, -1.25013, -1.29749, -0.90534
1.660, -0.08573, 1.66525, -1.24336, -1.28996, -0.92173
1.680, -0.08809, 1.65825, -1.23659, -1.28236, -0.93813
1.700, -0.09049, 1.65125, -1.22982, -1.27469, -0.95452
1.720, -0.09291, 1.64425, -1.22305, -1.26696, -0.97092
1.740, -0.09536, 1.63725, -1.21628, -1.25917, -0.98731
1.760, -0.09784, 1.63025, -1.20950, -1.25133, -1.00371
1.780, -0.10034, 1.62325, -1.20273, -1.24343, -1.02010
1.800, -0.10287, 1.61625, -1.19596, -1.23548, -1.03650
1.820, -0.10542, 1.60925, -1.18919, -1.22748, -1.05289
1.840, -0.10799, 1.60225, -1.18242, -1.21944, -1.06929
1.860, -0.11057, 1.59525, -1.17564, -1.21136, -1.08568
1.880, -0.11318, 1.58825, -1.16887, -1.20324, -1.10208
1.900, -0.11580, 1.58125, -1.16210, -1.19508, -1.11847
1.920, -0.11843, 1.57425, -1.15533, -1.18689, -1.13487
1.940, -0.12108, 1.56725, -1.14856, -1.17867, -1.15126
1.960, -0.12374, 1.56025, -1.14178, -1.17043, -1.16766
1.980, -0.12641, 1.55325, -1.13501, -1.16216, -1.18405
2.000, -0.12909, 1.54625, -1.12824, -1.15387, -1.20045
2.020, -0.13178, 1.53925, -1.12147, -1.14556, -1.21684
2.040, -0.13447, 1.53225, -1.11470, -1.13724, -1.23324
2.060, -0.13716, 1.52525, -1.10792, -1.12891, -1.24963
2.080, -0.13986, 1.51825, -1.10115, -1.12057, -1.26603
2.100, -0.14256, 1.51125, -1.09438, -1.11222, -1.28242
2.120, -0.14526, 1.50425, -1.08761, -1.10387, -1.29882
2.140, -0.14797, 1.49725, -1.08084, -1.09552, -1.31521
2.160, -0.15067, 1.49025, -1.07407, -1.08717, -1.33161
2.180, -0.15337, 1.48325, -1.06729, -1.07882, -1.34800
2.200, -0.15607, 1.47625, -1.06052, -1.07047, -1.36440
2.220, -0.15877, 1.46925, -1.05375, -1.06212, -1.38079
2.240, -0.16147, 1.46225, -1.04698, -1.05377, -1.39719
2.260, -0.16417, 1.45525, -1.04021, -1.04542, -1.41359
2.280, -0.16687, 1.44825, -1.03343, -1.03707, -1.42998
2.300, -0.16957, 1.44125, -1.02666, -1.02872, -1.44638
2.320, -0.17227, 1.43425, -1.01989, -1.02037, -1.46277
2.340, -0.17497, 1.42725, -1.01312, -1.01202, -1.47917
2.360, -0.17767, 1.42025, -1.00635, -1.00367, -1.49556
2.380, -0.18037, 1.41325, -0.99957, -0.99532, -1.51196
2.400, -0.18307, 1.40625, -0.99280, -0.98697, -1.52835
2.420, -0.18577, 1.39925, -0.98603, -0.97862, -1.54475
2.440, -0.18847, 1.39225, -0.97926, -0.97027, -1.56114
2.460, -0.19118, 1.38525, -0.97249, -0.96191, -1.57754
2.480, -0.19388, 1.37825, -0.96572, -0.95356, -1.59393
2.500, -0.19658, 1.37125, -0.95894, -0.94521, -1.61033
2.520, -0.19928, 1.36425, -0.95217, -0.93686, -1.62672
2.540, -0.20198, 1.35725, -0.94540, -0.92851, -1.64312
2.560, -0.20468, 1.35025, -0.93863, -0.92016, -1.65951
2.580, -0.20738, 1.34325, -0.93186, -0.91181, -1.67591
2.600, -0.21008, 1.33625, -0.92508, -0.90346, -1.69230
2.620, -0.21278, 1.32925, -0.91831, -0.89511, -1.70870
2.640, -0.21548, 1.32225, -0.91154, -0.88676, -1.72509
2.660, -0.21818, 1.31525, -0.90477, -0.87841, -1.74149
2.680, -0.22088, 1.30825, -0.89800, -0.87006, -1.75788
2.700, -0.22358, 1.30125, -0.89122, -0.86171, -1.77428
2.720, -0.22628, 1.29425, -0.88445, -0.85336, -1.79067
2.740, -0.22898, 1.28725, -0.87768, -0.84501, -1.80707
2.760, -0.23168, 1.28025, -0.87091, -0.83666, -1.82346
2.780, -0.23438, 1.27325, -0.86414, -0.82831, -1.83986
2.800, -0.23709, 1.26625, -0.85736, -0.81996, -1.85625
2.820, -0.23979, 1.25925, -0.85059, -0.81161, -1.87265
2.840, -0.24249, 1.25225, -0.84382, -0.80327, -1.88904
2.860, -0.24518, 1.24525, -0.83705, -0.79494, -1.90544
2.880, -0.24788, 1.23825, -0.83028, -0.78663, -1.92183
2.900, -0.25056, 1.23125, -0.82351, -0.77832, -1.93823
2.920, -0.25325, 1.22425, -0.81673, -0.77004, -1.95462
2.940, -0.25592, 1.21725, -0.80996, -0.76178, -1.97102
2.960, -0.25858, 1.21025, -0.80319, -0.75354, -1.98741
2.980, -0.26123, 1.20325, -0.79642, -0.74533, -2.00381
3.000, -0.26387, 1.19625, -0.78965, -0.73715, -2.02020
3.020, -0.26650, 1.18925, -0.78287, -0.72900, -2.03660
3.040, -0.26911, 1.18225, -0.77610, -0.72089, -2.05299
3.060, -0.27170, 1.17525, -0.76933, -0.71282, -2.06939
3.080, -0.27428, 1.16825, -0.76256, -0.70479, -2.08578
3.100, -0.27683, 1.16125, -0.75579, -0.69680, -2.10218
3.120, -0.27936, 1.15425, -0.74901, -0.68886, -2.11857
3.140, -0.28187, 1.14725, -0.74224, -0.68098, -2.13497
3.160, -0.28436, 1.14025, -0.73547, -0.67315, -2.15137
3.180, -0.28682, 1.13325, -0.72870, -0.66537, -2.16776
3.200, -0.28925, 1.12625, -0.72193, -0.65766, -2.18416
3.220, -0.29166, 1.11925, -0.71516, -0.65001, -2.20055
3.240, -0.29403, 1.11225, -0.70838, -0.64243, -2.21695
3.260, -0.29637, 1.10525, -0.70161, -0.63491, -2.23334
3.280, -0.29868, 1.09825, -0.69484, -0.62747, -2.24974
3.300, -0.30096, 1.09125, -0.68807, -0.62010, -2.26613
3.320, -0.30321, 1.08425, -0.68130, -0.61281, -2.28253
3.340, -0.30542, 1.07725, -0.67452, -0.60560, -2.29892
3.360, -0.30760, 1.07025, -0.66775, -0.59847, -2.31532
3.380, -0.30975, 1.06325, -0.66098, -0.59144, -2.33171
3.400, -0.31186, 1.05625, -0.65421, -0.58449, -2.34811
3.420, -0.31395, 1.04925, -0.64744, -0.57763, -2.36450
3.440, -0.31600, 1.04225, -0.64066, -0.57087, -2.38090
3.460, -0.31801, 1.03525, -0.63389, -0.56421, -2.39729
3.480, -0.32000, 1.02825, -0.62712, -0.55765, -2.41369
3.500, -0.32195, 1.02125, -0.62035, -0.55120, -2.43008
3.520, -0.32388, 1.01425, -0.61358, -0.54485, -2.44648
3.540, -0.32576, 1.00725, -0.60680, -0.53862, -2.46287
3.560, -0.32762, 1.00025, -0.60003, -0.53250, -2.47927
3.580, -0.32944, 0.99325, -0.59326, -0.52649, -2.49566
3.600, -0.33124, 0.98625, -0.58649, -0.52061, -2.51206
3.620, -0.33299, 0.97925, -0.57972, -0.51484, -2.52845
3.640, -0.33472, 0.97225, -0.57295, -0.50921, -2.54485
3.660, -0.33641, 0.96525, -0.56617, -0.50370, -2.56124
3.680, -0.33808, 0.95825, -0.55940, -0.49832, -2.57764
3.700, -0.33971, 0.95125, -0.55263, -0.49308, -2.59403
3.720, -0.34130, 0.94425, -0.54586, -0.48798, -2.61043
3.740, -0.34287, 0.93725, -0.53909, -0.48301, -2.62682
3.760, -0.34440, 0.93025, -0.53231, -0.47819, -2.64322
3.780, -0.34590, 0.92325, -0.52554, -0.47350, -2.65961
3.800, -0.34737, 0.91625, -0.51877, -0.46896, -2.67601
3.820, -0.34880, 0.90925, -0.51200, -0.46455, -2.69240
3.840, -0.35020, 0.90225, -0.50523, -0.46028, -2.70880
3.860, -0.35157, 0.89525, -0.49845, -0.45615, -2.72517
3.880, -0.35291, 0.88825, -0.49168, -0.45217, -2.74151
3.900, -0.35422, 0.88125, -0.48491, -0.44832, -2.75779
3.920, -0.35549, 0.87425, -0.47814, -0.44461, -2.77398
3.940, -0.35673, 0.86725, -0.47137, -0.44104, -2.79006
3.960, -0.35794, 0.86025, -0.46459, -0.43761, -2.80601
3.980, -0.35911, 0.85325, -0.45782, -0.43432, -2.82181
4.000, -0.36026, 0.84625, -0.45105, -0.43116, -2.83743
4.020, -0.36137, 0.83925, -0.44428, -0.42815, -2.85286
4.040, -0.36245, 0.83225, -0.43751, -0.42526, -2.86807
4.060, -0.36349, 0.82525, -0.43074, -0.42251, -2.88303
4.080, -0.36450, 0.81825, -0.42399, -0.41988, -2.89773
