Time_(s), Base_Joint_Velocity_(rad/s), Shoulder_Joint_Velocity_(rad/s), Elbow_Joint_Velocity_(rad/s), Wrist_Pitch_Joint_Velocity_(rad/s), Wrist_Roll_Joint_Velocity_(rad/s)
0.000, -0.00001, -0.00002, 0.00002, 0.00003, -0.00005
0.011, -0.00004, -0.00025, 0.00023, 0.00011, -0.00047
0.022, -0.00010, -0.00073, 0.00067, 0.00024, -0.00123
0.033, -0.00018, -0.00146, 0.00133, 0.00042, -0.00234
0.044, -0.00028, -0.00244, 0.00222, 0.00064, -0.00380
0.056, -0.00040, -0.00366, 0.00333, 0.00091, -0.00560
0.067, -0.00055, -0.00513, 0.00466, 0.00123, -0.00776
0.078, -0.00072, -0.00684, 0.00622, 0.00159, -0.01026
0.089, -0.00091, -0.00881, 0.00800, 0.00200, -0.01311
0.100, -0.00112, -0.01102, 0.01001, 0.00245, -0.01631
0.111, -0.00136, -0.01347, 0.01223, 0.00295, -0.01985
0.122, -0.00162, -0.01618, 0.01468, 0.00349, -0.02375
0.133, -0.00190, -0.01913, 0.01736, 0.00408, -0.02799
0.144, -0.00220, -0.02233, 0.02026, 0.00472, -0.03258
0.156, -0.00253, -0.02577, 0.02338, 0.00540, -0.03752
0.167, -0.00288, -0.02946, 0.02673, 0.00613, -0.04281
0.178, -0.00325, -0.03340, 0.03029, 0.00691, -0.04845
0.189, -0.00364, -0.03758, 0.03409, 0.00773, -0.05443
0.200, -0.00406, -0.04202, 0.03810, 0.00860, -0.06077
0.211, -0.00450, -0.04670, 0.04234, 0.00951, -0.06745
0.222, -0.00496, -0.05162, 0.04681, 0.01047, -0.07447
0.233, -0.00544, -0.05679, 0.05149, 0.01147, -0.08185
0.244, -0.00595, -0.06221, 0.05640, 0.01252, -0.08958
0.256, -0.00648, -0.06788, 0.06154, 0.01362, -0.09765
0.267, -0.00703, -0.07379, 0.06690, 0.01476, -0.10607
0.278, -0.00761, -0.07996, 0.07248, 0.01595, -0.11484
0.289, -0.00820, -0.08636, 0.07828, 0.01719, -0.12396
0.300, -0.00882, -0.09302, 0.08431, 0.01847, -0.13343
0.311, -0.00946, -0.09992, 0.09056, 0.01980, -0.14324
0.322, -0.01013, -0.10706, 0.09704, 0.02117, -0.15340
0.333, -0.01081, -0.11447, 0.10373, 0.02259, -0.16392
0.344, -0.01152, -0.12210, 0.11066, 0.02405, -0.17478
0.356, -0.01226, -0.12989, 0.11781, 0.02557, -0.18598
0.367, -0.01301, -0.13767, 0.12508, 0.02712, -0.19754
0.378, -0.01379, -0.14544, 0.13237, 0.02873, -0.20944
0.389, -0.01459, -0.15322, 0.13965, 0.03038, -0.22169
0.400, -0.01541, -0.16100, 0.14693, 0.03207, -0.23429
0.411, -0.01625, -0.16878, 0.15421, 0.03381, -0.24724
0.422, -0.01712, -0.17656, 0.16148, 0.03560, -0.26054
0.433, -0.01801, -0.18433, 0.16876, 0.03743, -0.27419
0.444, -0.01891, -0.19211, 0.17604, 0.03931, -0.28818
0.456, -0.01981, -0.19989, 0.18332, 0.04124, -0.30252
0.467, -0.02071, -0.20767, 0.19060, 0.04321, -0.31721
0.478, -0.02161, -0.21544, 0.19788, 0.04522, -0.33216
0.489, -0.02251, -0.22324, 0.20516, 0.04729, -0.34710
0.500, -0.02341, -0.23097, 0.21244, 0.04940, -0.36203
0.511, -0.02431, -0.23853, 0.21972, 0.05155, -0.37696
0.522, -0.02522, -0.24582, 0.22690, 0.05375, -0.39190
0.533, -0.02612, -0.25287, 0.23386, 0.05600, -0.40683
0.544, -0.02702, -0.25968, 0.24059, 0.05829, -0.42176
0.556, -0.02792, -0.26623, 0.24710, 0.06063, -0.43670
0.567, -0.02882, -0.27254, 0.25338, 0.06302, -0.45163
0.578, -0.02972, -0.27860, 0.25944, 0.06545, -0.46656
0.589, -0.03062, -0.28442, 0.26528, 0.06793, -0.48150
0.600, -0.03152, -0.28998, 0.27090, 0.07045, -0.49645
0.611, -0.03242, -0.29530, 0.27629, 0.07302, -0.51127
0.622, -0.03332, -0.30038, 0.28145, 0.07563, -0.52577
0.633, -0.03422, -0.30521, 0.28640, 0.07830, -0.53990
0.644, -0.03512, -0.30979, 0.29112, 0.08100, -0.55369
0.656, -0.03602, -0.31412, 0.29561, 0.08376, -0.56713
0.667, -0.03692, -0.31821, 0.29988, 0.08656, -0.58022
0.678, -0.03782, -0.32205, 0.30393, 0.08940, -0.59296
0.689, -0.03872, -0.32564, 0.30776, 0.09229, -0.60535
0.700, -0.03962, -0.32898, 0.31136, 0.09523, -0.61740
0.711, -0.04052, -0.33208, 0.31474, 0.09821, -0.62910
0.722, -0.04142, -0.33493, 0.31789, 0.10124, -0.64045
0.733, -0.04232, -0.33754, 0.32082, 0.10432, -0.65145
0.744, -0.04322, -0.33990, 0.32353, 0.10744, -0.66210
0.756, -0.04412, -0.34201, 0.32602, 0.11061, -0.67241
0.767, -0.04502, -0.34387, 0.32828, 0.11382, -0.68236
0.778, -0.04592, -0.34549, 0.33031, 0.11708, -0.69197
0.789, -0.04683, -0.34686, 0.33213, 0.12038, -0.70123
0.800, -0.04773, -0.34798, 0.33372, 0.12373, -0.71014
0.811, -0.04863, -0.34886, 0.33508, 0.12713, -0.71871
0.822, -0.04953, -0.34949, 0.33623, 0.13058, -0.72692
0.833, -0.05043, -0.34987, 0.33714, 0.13406, -0.73479
0.844, -0.05133, -0.35000, 0.33784, 0.13760, -0.74231
0.856, -0.05223, -0.35001, 0.33832, 0.14118, -0.74948
0.867, -0.05313, -0.35000, 0.33856, 0.14481, -0.75630
0.878, -0.05403, -0.35000, 0.33860, 0.14848, -0.76278
0.889, -0.05493, -0.35000, 0.33860, 0.15220, -0.76891
0.900, -0.05583, -0.35000, 0.33859, 0.15597, -0.77468
0.911, -0.05673, -0.35000, 0.33860, 0.15978, -0.78011
0.922, -0.05763, -0.35000, 0.33859, 0.16363, -0.78520
0.933, -0.05853, -0.35000, 0.33859, 0.16752, -0.78993
0.944, -0.05943, -0.35000, 0.33859, 0.17140, -0.79432
0.956, -0.06033, -0.35000, 0.33859, 0.17527, -0.79835
0.967, -0.06123, -0.35000, 0.33859, 0.17914, -0.80204
0.978, -0.06213, -0.35000, 0.33859, 0.18302, -0.80538
0.989, -0.06303, -0.35000, 0.33859, 0.18689, -0.80838
1.000, -0.06393, -0.35000, 0.33859, 0.19077, -0.81102
1.011, -0.06483, -0.35000, 0.33859, 0.19464, -0.81332
1.022, -0.06573, -0.35000, 0.33859, 0.19851, -0.81526
1.033, -0.06663, -0.35000, 0.33859, 0.20239, -0.81686
1.044, -0.06753, -0.35000, 0.33859, 0.20626, -0.81812
1.056, -0.06843, -0.35000, 0.33859, 0.21013, -0.81902
1.067, -0.06934, -0.35000, 0.33859, 0.21401, -0.81957
1.078, -0.07024, -0.35000, 0.33859, 0.21788, -0.81978
1.089, -0.07114, -0.35000, 0.33859, 0.22175, -0.81975
1.100, -0.07204, -0.35000, 0.33859, 0.22563, -0.81975
1.111, -0.07294, -0.35000, 0.33859, 0.22950, -0.81976
1.122, -0.07384, -0.35000, 0.33859, 0.23338, -0.81976
1.133, -0.07474, -0.35000, 0.33859, 0.23725, -0.81976
1.144, -0.07564, -0.35000, 0.33859, 0.24112, -0.81976
1.156, -0.07654, -0.35000, 0.33859, 0.24500, -0.81976
1.167, -0.07744, -0.35000, 0.33859, 0.24888, -0.81976
1.178, -0.07834, -0.35000, 0.33859, 0.25276, -0.81976
1.189, -0.07924, -0.35000, 0.33859, 0.25661, -0.81976
1.200, -0.08014, -0.35000, 0.33859, 0.26044, -0.81976
1.211, -0.08104, -0.35000, 0.33859, 0.26423, -0.81976
1.222, -0.08194, -0.35000, 0.33859, 0.26796, -0.81976
1.233, -0.08284, -0.35000, 0.33859, 0.27165, -0.81976
1.244, -0.08374, -0.35000, 0.33859, 0.27529, -0.81976
1.256, -0.08464, -0.35000, 0.33859, 0.27888, -0.81976
1.267, -0.08554, -0.35000, 0.33859, 0.28243, -0.81976
1.278, -0.08644, -0.35000, 0.33859, 0.28593, -0.81976
1.289, -0.08734, -0.35000, 0.33859, 0.28939, -0.81976
1.300, -0.08824, -0.35000, 0.33859, 0.29280, -0.81976
1.311, -0.08914, -0.35000, 0.33859, 0.29617, -0.81976
1.322, -0.09004, -0.35000, 0.33859, 0.29949, -0.81976
1.333, -0.09095, -0.35000, 0.33859, 0.30276, -0.81976
1.344, -0.09185, -0.35000, 0.33859, 0.30598, -0.81976
1.356, -0.09275, -0.35000, 0.33859, 0.30917, -0.81976
1.367, -0.09365, -0.35000, 0.33859, 0.31230, -0.81976
1.378, -0.09455, -0.35000, 0.33859, 0.31539, -0.81976
1.389, -0.09545, -0.35000, 0.33859, 0.31843, -0.81976
1.400, -0.09635, -0.35000, 0.33859, 0.32143, -0.81976
1.411, -0.09725, -0.35000, 0.33859, 0.32438, -0.81976
1.422, -0.09815, -0.35000, 0.33859, 0.32728, -0.81976
1.433, -0.09905, -0.35000, 0.33859, 0.33014, -0.81976
1.444, -0.09995, -0.35000, 0.33859, 0.33295, -0.81976
1.456, -0.10085, -0.35000, 0.33859, 0.33572, -0.81976
1.467, -0.10175, -0.35000, 0.33859, 0.33844, -0.81976
1.478, -0.10265, -0.35000, 0.33859, 0.34112, -0.81976
1.489, -0.10355, -0.35000, 0.33859, 0.34374, -0.81976
1.500, -0.10445, -0.35000, 0.33859, 0.34633, -0.81976
1.511, -0.10535, -0.35000, 0.33859, 0.34886, -0.81976
1.522, -0.10625, -0.35000, 0.33859, 0.35135, -0.81976
1.533, -0.10715, -0.35000, 0.33859, 0.35380, -0.81976
1.544, -0.10805, -0.35000, 0.33859, 0.35620, -0.81976
1.556, -0.10895, -0.35000, 0.33859, 0.35855, -0.81976
1.567, -0.10985, -0.35000, 0.33859, 0.36086, -0.81976
1.578, -0.11075, -0.35000, 0.33859, 0.36312, -0.81976
1.589, -0.11165, -0.35000, 0.33859, 0.36533, -0.81976
1.600, -0.11256, -0.35000, 0.33859, 0.36750, -0.81976
1.611, -0.11346, -0.35000, 0.33859, 0.36962, -0.81976
1.622, -0.11435, -0.35000, 0.33859, 0.37170, -0.81976
1.633, -0.11526, -0.35000, 0.33859, 0.37373, -0.81976
1.644, -0.11616, -0.35000, 0.33859, 0.37571, -0.81976
1.656, -0.11706, -0.35000, 0.33859, 0.37765, -0.81976
